CATEGORY	TICKER	DATE	OPEN	CLOSE
Crypto	BTC-USD	2020-12-27	26482.65	26258.65
Crypto	ETH-USD	2020-12-28	684.34	729.7
Crypto	BTC-USD	2020-12-28	26255.16	27053
Crypto	ETH-USD	2020-12-29	729.65	731.84
Crypto	BTC-USD	2020-12-29	27039.39	27366.35
Crypto	ETH-USD	2020-12-30	731.79	752.5
Crypto	BTC-USD	2020-12-30	27376.2	28897.42
Crypto	ETH-USD	2020-12-31	752.54	737.67
Crypto	BTC-USD	2020-12-31	28887	28921.7
Crypto	ETH-USD	2021-01-01	737.89	730.85
Crypto	BTC-USD	2021-01-01	28939	29412.84
Crypto	ETH-USD	2021-01-02	730.97	775.3
Crypto	BTC-USD	2021-01-02	29410.77	32225.91
Crypto	ETH-USD	2021-01-03	774.82	980.44
Crypto	BTC-USD	2021-01-03	32185	33080.66
Crypto	ETH-USD	2021-01-04	976.32	1042.38
Crypto	BTC-USD	2021-01-04	32990	32016.09
Crypto	ETH-USD	2021-01-05	1042.24	1098.732
Crypto	BTC-USD	2021-01-05	32020.22	34030.64
Crypto	ETH-USD	2021-01-06	1102.97	1208.093
Crypto	BTC-USD	2021-01-06	34043.91	36859.26
Crypto	ETH-USD	2021-01-07	1209.4	1227.07
Crypto	BTC-USD	2021-01-07	36791	39505.56
Crypto	ETH-USD	2021-01-08	1227.55	1217.35
Crypto	BTC-USD	2021-01-08	39510.59	40562.42
Crypto	ETH-USD	2021-01-09	1217.31	1281.45
Crypto	BTC-USD	2021-01-09	40682.76	40257.43
Crypto	ETH-USD	2021-01-10	1281.25	1255.13
Crypto	BTC-USD	2021-01-10	40239.06	38200
Crypto	ETH-USD	2021-01-11	1255.1	1088.79
Crypto	BTC-USD	2021-01-11	38144	35371.58
Crypto	ETH-USD	2021-01-12	1088.55	1049.8
Crypto	BTC-USD	2021-01-12	35449.71	34038.98
Crypto	ETH-USD	2021-01-13	1050.46	1130.8
Crypto	BTC-USD	2021-01-13	34041.65	37390.1
Crypto	ETH-USD	2021-01-14	1130.79	1231.32
Crypto	BTC-USD	2021-01-14	37393.49	39125.14
Crypto	ETH-USD	2021-01-15	1231.59	1168.16
Crypto	BTC-USD	2021-01-15	39125.94	36754.67
Crypto	ETH-USD	2021-01-16	1169.04	1227.14
Crypto	BTC-USD	2021-01-16	36754.6	36006.94
Crypto	ETH-USD	2021-01-17	1227.76	1233
Crypto	BTC-USD	2021-01-17	36004.8	35820
Crypto	ETH-USD	2021-01-18	1232.6	1261
Crypto	BTC-USD	2021-01-18	35820.01	36624.23
Crypto	ETH-USD	2021-01-19	1258.64	1367.38843092
Crypto	BTC-USD	2021-01-19	36624.23	35917.28
Crypto	ETH-USD	2021-01-20	1367.64	1377.04
Crypto	BTC-USD	2021-01-20	35883.77	35503.09
Crypto	ETH-USD	2021-01-21	1377.15	1110.62
Crypto	BTC-USD	2021-01-21	35498.85	30855.95
Crypto	ETH-USD	2021-01-22	1110.48	1233.6
Crypto	BTC-USD	2021-01-22	30890.60960271	32984.93
Crypto	ETH-USD	2021-01-23	1233.42	1233.678
Crypto	BTC-USD	2021-01-23	32988.91	32112.01
Crypto	ETH-USD	2021-01-24	1234.47	1394
Crypto	BTC-USD	2021-01-24	32098.38	32320
Crypto	ETH-USD	2021-01-25	1394.04	1317.97
Crypto	BTC-USD	2021-01-25	32293.18	32261.87
Crypto	ETH-USD	2021-01-26	1317.4	1367.68
Crypto	BTC-USD	2021-01-26	32268.95	32510.82
Crypto	ETH-USD	2021-01-27	1366.9	1240.66
Crypto	BTC-USD	2021-01-27	32510.82	30420.597358
Crypto	ETH-USD	2021-01-28	1241.78	1328.6
Crypto	BTC-USD	2021-01-28	30422.6	33488.99
Crypto	ETH-USD	2021-01-29	1333.61	1379.38
Crypto	BTC-USD	2021-01-29	33487.92	34262.11
Crypto	ETH-USD	2021-01-30	1379.38	1380
Crypto	BTC-USD	2021-01-30	34265.71	34341
Crypto	ETH-USD	2021-01-31	1380	1313.94
Crypto	BTC-USD	2021-01-31	34315.63	33137.74
Crypto	ETH-USD	2021-02-01	1313.95	1374.6
Crypto	BTC-USD	2021-02-01	33137.75	33533.9
Crypto	ETH-USD	2021-02-02	1374.89	1513.67
Crypto	BTC-USD	2021-02-02	33534.39	35577
Crypto	ETH-USD	2021-02-03	1513.86	1667.78
Crypto	BTC-USD	2021-02-03	35500	37667
Crypto	ETH-USD	2021-02-04	1668.71	1595.1
Crypto	BTC-USD	2021-02-04	37688.42	36975
Crypto	ETH-USD	2021-02-05	1597.34	1721.06
Crypto	BTC-USD	2021-02-05	36975.8	38311.49
Crypto	ETH-USD	2021-02-06	1721.06	1679.77
Crypto	BTC-USD	2021-02-06	38320	39191.46
Crypto	ETH-USD	2021-02-07	1679.76	1615.32
Crypto	BTC-USD	2021-02-07	39257	38871.42
Crypto	ETH-USD	2021-02-08	1615.51	1752.98
Crypto	BTC-USD	2021-02-08	38867.1	46444
Crypto	ETH-USD	2021-02-09	1752.98	1772.16
Crypto	BTC-USD	2021-02-09	46444	46514.73
Crypto	ETH-USD	2021-02-10	1771.78	1742.4
Crypto	BTC-USD	2021-02-10	46515.89	44850
Crypto	ETH-USD	2021-02-11	1742.51	1787.32
Crypto	BTC-USD	2021-02-11	44850	48008
Crypto	ETH-USD	2021-02-12	1787.33	1845.3
Crypto	BTC-USD	2021-02-12	47993.6	47408.34
Crypto	ETH-USD	2021-02-13	1844.78	1818.01
Crypto	BTC-USD	2021-02-13	47424.25	47233.56
Crypto	ETH-USD	2021-02-14	1817.85	1803.75
Crypto	BTC-USD	2021-02-14	47240.75	48680.69
Crypto	ETH-USD	2021-02-15	1803.25	1779.62
Crypto	BTC-USD	2021-02-15	48655.4	47906
Crypto	ETH-USD	2021-02-16	1780.59	1781.97
Crypto	BTC-USD	2021-02-16	47904.42	49158.71
Crypto	ETH-USD	2021-02-17	1782.14	1848.7
Crypto	BTC-USD	2021-02-17	49136.7	52170.01
Crypto	ETH-USD	2021-02-18	1848.7	1937.5
Crypto	BTC-USD	2021-02-18	52141.23	51566
Crypto	ETH-USD	2021-02-19	1939.64	1957.68
Crypto	BTC-USD	2021-02-19	51596	55903.52
Crypto	ETH-USD	2021-02-20	1957.9	1915.46
Crypto	BTC-USD	2021-02-20	55866	55923.52
Crypto	ETH-USD	2021-02-21	1915	1935.57
Crypto	BTC-USD	2021-02-21	55921.44	57489.16
Crypto	ETH-USD	2021-02-22	1935.67	1778.65
Crypto	BTC-USD	2021-02-22	57489.16	54096
Crypto	ETH-USD	2021-02-23	1778.33	1577.83
Crypto	BTC-USD	2021-02-23	54173.64	48899.99
Crypto	ETH-USD	2021-02-24	1576.6	1625.3
Crypto	BTC-USD	2021-02-24	48899.99	49737.82
Crypto	ETH-USD	2021-02-25	1625.27	1481.68
Crypto	BTC-USD	2021-02-25	49715.13	47061.5
Crypto	ETH-USD	2021-02-26	1485.3	1445.18
Crypto	BTC-USD	2021-02-26	47052.15	46326.2
